,longitude,latitude,date,time,time_zone,diffuse,type,sza
072823_SNOW14,7.46482,60.56764,2023-07-28,1519,Europe/Oslo,0,HCRF25,51.2
072823_SNOW15,7.46482,60.56764,2023-07-28,1528,Europe/Oslo,0,HCRF25,52.1
072823_SNOW16,7.46482,60.56764,2023-07-28,1536,Europe/Oslo,0,HCRF25,53.0
072823_SNOW17,7.46482,60.56764,2023-07-28,1544,Europe/Oslo,0,HCRF25,53.8
072823_SNOW18,7.46482,60.56764,2023-07-28,1551,Europe/Oslo,0,HCRF25,54.6
072823_SNOW19,7.46482,60.56764,2023-07-28,1602,Europe/Oslo,0,HCRF25,55.8
072823_SNOW1,7.46482,60.56764,2023-07-28,1220,Europe/Oslo,0,HCRF25,41.6
072823_SNOW20,7.46482,60.56764,2023-07-28,1623,Europe/Oslo,1,HCRF25,50.0
072823_SNOW21,7.46482,60.56764,2023-07-28,1636,Europe/Oslo,1,HCRF25,50.0
072823_SNOW2,7.46482,60.56764,2023-07-28,1228,Europe/Oslo,0,HCRF25,41.6
072823_SNOW3,7.46482,60.56764,2023-07-28,1237,Europe/Oslo,0,HCRF25,41.6
072823_SNOW4,7.46482,60.56764,2023-07-28,1247,Europe/Oslo,0,HCRF25,41.7
072823_SNOW5,7.46482,60.56764,2023-07-28,1254,Europe/Oslo,0,HCRF25,41.8
072823_SNOW6,7.46482,60.56764,2023-07-28,1301,Europe/Oslo,0,HCRF25,42.0
072823_SNOW7,7.46482,60.56764,2023-07-28,1357,Europe/Oslo,0,HCRF25,44.4
072823_SNOW8,7.46482,60.56764,2023-07-28,1429,Europe/Oslo,0,HCRF25,46.7
072823_SNOW9,7.46482,60.56764,2023-07-28,1436,Europe/Oslo,0,HCRF25,47.2
072923_SNOW1,7.46482,60.56764,2023-07-29,1327,Europe/Oslo,0,HCRF25,43.1
072923_SNOW2,7.46482,60.56764,2023-07-29,1351,Europe/Oslo,1,HCRF25,50.0
072923_SNOW3,7.46482,60.56764,2023-07-29,1457,Europe/Oslo,1,HCRF25,50.0
073123_SNOW10,7.46492,60.56774,2023-07-31,1642,Europe/Oslo,1,HCRF25,50.0
073123_SNOW11,7.46493,60.56775,2023-07-31,1725,Europe/Oslo,1,HCRF25,50.0
073123_SNOW12,7.46494,60.56776,2023-07-31,1745,Europe/Oslo,1,HCRF25,50.0
