,mean_MAE,sza,grain_size,algae,lwc,bc,dust,indices,single_indices
071423_SNOW14,0.0055404697,43.69999974966049,798.0163727433303,1817.8132794389735,0.07140562405222975,531.3205455718829,749.2805435669163,46,46
071423_SNOW15,0.00468739,43.69999974966049,638.015641403521,34833.739056466606,0.0695965477526656,106.46000321451413,238345.36334060985,47,47
071423_SNOW16,0.004741364,44.20000001788139,655.7961743978636,8633.34340484975,0.07265399654864604,375.9730325269795,221238.3860844739,48,48
071423_SNOW17,0.005349127,45.19999980926514,686.5673200609097,7059.001037767643,0.072727538525894,446.28816000681985,206899.95961509834,49,49
071423_SNOW18,0.004796766,46.20000034570694,617.8729747510712,7172.686994018164,0.07227861166036856,207.1093765355417,190256.5496626119,50,50
071423_SNOW19,0.004415577,46.800000071525574,949.290458753508,6187.532091798922,0.06745541360465042,379.6080083338244,190966.74987855396,51,51
071423_SNOW1,0.004696546,38.90000008046627,666.1946568926028,47688.311422744424,0.07266512101176237,665.81435006316,317217.016684473,52,52
071423_SNOW20,0.00555248,48.099999725818634,668.0585808703012,13207.513520711125,0.06949168255218065,1.2891492480982925,347750.76673973154,53,53
071423_SNOW22,0.0058984254,50.399999916553504,953.2487942798208,7278.895579942068,0.07257039387203451,280.78385522342666,103294.46563090384,54,54
071423_SNOW23,0.0044726348,51.79999977350236,1112.7322056391733,83796.9498841322,0.08582618253880935,710.4221989562923,120167.01511080509,55,55
071423_SNOW24,0.0050034462,52.39999949932099,1072.4840318352196,121905.51558365418,0.0712610274156759,617.2855723653073,358287.4808982087,56,56
071423_SNOW25,0.006707923,53.400000035762794,931.387448264873,32657.647444244954,0.06600659659848239,3.1858662056305076,955074.5618387082,57,57
071423_SNOW26,0.0049358592,53.79999935626984,1055.8841966788912,99312.19849577184,0.07696980799047866,624.5605004561978,474837.31957810157,58,58
071423_SNOW27,0.0053639053,54.90000009536744,960.9234305015278,30356.584697552487,0.06926100349086857,52.653149414398065,229657.9934748339,59,59
071423_SNOW28,0.004953401,58.199999332427986,1226.5796933702893,56645.01199524887,0.07485788015541361,1113.2821489746439,463.597418725391,60,60
071423_SNOW2,0.005598803,38.90000008046627,664.3298590345798,42089.316539863095,0.07634803399263711,904.775947229859,152639.04793118566,61,61
071423_SNOW3,0.005447626,39.19999994337559,663.3307165563537,39585.72300455999,0.07286936602455686,376.5528850827479,160346.46835127618,62,62
071423_SNOW4,0.005046152,39.500000178813934,668.0650933977981,57380.7946110395,0.07469723303065393,239.87758904177673,178388.2930492405,63,63
071423_SNOW5,0.0050398195,39.80000004172325,733.0325739153387,19084.90264708734,0.08015488494158572,231.8928123840616,95249.8480659172,64,64
071423_SNOW6,0.00508954,40.000000074505806,513.6382379124983,29511.57484573915,0.06999616136347585,0.5851283923231582,233475.27672022177,65,65
071423_SNOW7,0.0056022834,40.400000140070915,627.7691543586337,26030.19158380038,0.0724021865194294,435.21061955405827,124504.09662375096,66,66
071423_SNOW8,0.0058108843,40.99999986588955,643.2939531093757,8906.521180661117,0.0694502274143232,532.0922577999179,49616.6320453378,67,67
071423_SNOW9,0.0050975657,41.40000030398369,556.5151486922935,72924.98239488847,0.07115298052078252,155.13788559343573,256564.81462253098,68,68
072023_SNOW1,0.0069930134,40.400000140070915,595.8233573068949,21091.090342819705,0.06872361060298673,2.2521070105982623,100619.15914189255,69,69
072123_SNOW11,0.006220948,39.899999871850014,722.2593216989648,37191.72380192233,0.06597051584000825,1.664931115689499,108089.48930526868,70,70
072123_SNOW12,0.0079766,39.899999871850014,973.9686376718754,38797.11711340584,0.059503966112612196,3.3205302103629855,121434.9719436877,71,71
072123_SNOW13,0.0058420175,40.400000140070915,1101.3051380266518,35079.79888575175,0.061988609081138485,38.65859105248667,349025.9507818325,72,72
072123_SNOW14,0.0048571057,41.199999898672104,639.5714105895503,18143.02377378673,0.07618913089773101,0.0864546552583243,173734.65182270453,73,73
072123_SNOW15,0.0052517415,41.40000030398369,665.1643522433114,37868.51739774414,0.08146435572669684,13.864362074375432,154855.97927784498,74,74
072123_SNOW17,0.0047384365,42.100000232458115,681.8912670472454,30216.109785949568,0.07158005174620927,90.72428390807123,201413.15735991587,75,75
072123_SNOW2,0.00700499,44.39999967813492,655.1218447138112,55971.27389519037,0.06691801228338887,1.884138479252547,181682.00454231192,76,76
072123_SNOW3,0.004865365,43.60000029206276,705.6052876438929,37361.749231265945,0.06826058299092641,184.85986852239628,130707.17573896208,77,77
072123_SNOW4,0.0055699684,42.90000036358833,721.0671157462714,22523.20548562975,0.0709256341777682,0.9569687169022089,66142.10894654716,78,78
072123_SNOW5,0.0077526513,42.599999755620956,694.3900834666401,18315.947766001325,0.06250974011441393,2.618716341605006,40010.54433653434,79,79
072123_SNOW6,0.0054949652,41.89999982714653,769.2923739714629,46441.55966713601,0.06865598013843531,8.05096767052369,114631.28581174066,80,80
072123_SNOW7,0.005267397,41.49999976158142,774.0627303439676,33073.166823124746,0.0668791095927244,0.6086491794103878,155486.70149566716,81,81
