,sza,grain_size,algae,lwc,bc,dust,maes
071423_SNOW4,39.500000178813934,668.8097591072839,57060.01513780564,0.0746722341284209,225.2992997446441,193371.39199016895,0.005236457
071423_SNOW5,39.80000004172325,734.7516035145868,18517.745676132352,0.0800401574915693,204.9807261311376,122798.58872579214,0.005197067
071423_SNOW6,40.000000074505806,513.9874901271647,29512.70120567519,0.0700361367998449,0.2429174251443179,229881.520778942,0.0051555336
071423_SNOW7,40.40000014007092,629.1741425220823,25390.83179044782,0.0723291081285063,404.9091053052727,155652.50163122473,0.005822261
071423_SNOW8,40.99999986588955,644.5103573564494,8369.7960063421,0.0693546870782597,507.67545473615456,74796.46728230761,0.0060651307
071423_SNOW9,41.40000030398369,557.3083071153486,72933.84277641922,0.0711835883710739,154.61610799680477,258095.76103892952,0.005227353
072023_SNOW1,50.000000596046455,725.2190696212061,23153.274560290334,0.0671553247126746,1.1940414178844805,82853.07371020786,0.00663906
072123_SNOW11,50.000000596046455,888.2121754727106,39700.81661775838,0.0648280756484021,0.8111191122578283,95852.26164006132,0.00625051
072123_SNOW12,50.000000596046455,1205.3105216951124,41643.9723546252,0.0585228818606718,1.7250641526474924,97479.4047760584,0.006870799
072123_SNOW13,50.000000596046455,1358.5696211591526,37201.14261001659,0.0612773928985371,21.89069090521361,366530.3544158549,0.0054588607
072123_SNOW14,50.000000596046455,766.1116264821283,19594.211586038404,0.075028896528944,0.0735488540502767,173394.68128806265,0.0051427116
072123_SNOW15,50.000000596046455,793.0392153325784,40304.05673348965,0.080490119899192,34.57236149840366,134271.7128238697,0.0056230337
072123_SNOW17,50.000000596046455,803.7509119558374,31991.354275833717,0.0705461782158466,101.26468266517308,195129.4628652693,0.004799006
072123_SNOW2,50.000000596046455,739.7744573204851,57142.16905989456,0.0662917244601965,0.5906700186950706,173699.87532309175,0.0069296383
072123_SNOW3,50.000000596046455,807.9953061738514,38828.571566323546,0.0674295899349187,188.5619805484664,131557.94649471898,0.005087129
072123_SNOW4,50.000000596046455,837.536299514876,23994.25986105358,0.07014773635775,0.6846214857503147,57649.48550599101,0.0056739594
072123_SNOW5,50.000000596046455,814.1271639692587,20189.45476303924,0.0612186770069021,2.550921963988816,18874.89329603246,0.00704327
072123_SNOW6,50.000000596046455,909.384724449216,48999.39613439489,0.067885544741227,24.62693742420812,95809.9508013331,0.005829369
072123_SNOW7,50.000000596046455,924.6565963336255,35082.42500477277,0.0660397700362532,0.3424824856610131,150614.51156593676,0.0055593336
072123_SNOW8,50.000000596046455,1134.174644635237,38038.56504460362,0.0590347578340489,1.1577921759753682,139599.68591532315,0.0062534087
072123_SNOW9,50.000000596046455,1261.7268142995515,26319.38414983613,0.0564812298144663,0.3689166989862248,408639.6411297871,0.0051811254
072323_SNOW10,56.09999954700471,1107.804880585409,26.49020502646984,0.0803288931368986,576.1151159772861,18096.18736828146,0.0052282233
072323_SNOW11,57.49999940395356,1259.734349002268,4209.828621146782,0.068368254026403,472.45651394016426,89599.03044140215,0.005287794
072323_SNOW12,58.49999994039536,1041.9784134156312,7730.214197547158,0.0667260025974878,507.8862161382254,139001.5892393625,0.004851227
072323_SNOW12_TESTADDALGAE,58.49999994039536,1018.86085953305,10455.33601476059,0.0711736234062538,145.87605973742876,288545.5949396179,0.004380568
072323_SNOW1,45.80000028014183,924.2365412557508,20795.12359481996,0.0901195473427942,559.5759059584898,6510.334928994238,0.0051737484
072323_SNOW2,46.29999980330467,894.138987081988,45221.916234874,0.0954724561442418,419.9242306504551,78733.1635927999,0.0058183665
072323_SNOW3,47.09999993443489,890.1832239690144,40260.38486908615,0.0971524293042746,598.9318154216955,460.4679825761575,0.005087469
072323_SNOW4,47.60000020265579,981.9307198689718,33880.66983039188,0.092314089774642,834.6116669862271,621.065755344991,0.0056947703
072323_SNOW5,48.79999965429306,1012.1765855970498,24103.725156383567,0.09806324047389,566.8072849601995,95.01141569039044,0.004742001
072323_SNOW6,50.000000596046455,913.4596564012296,15558.794639133092,0.083163390305486,591.7201772672656,743.4425596547446,0.006140077
072323_SNOW7,50.000000596046455,1128.7823253643962,12856.723469729626,0.0717547156859343,536.7704725777454,294.2573959195994,0.0054412214
072323_SNOW8,50.000000596046455,995.2699048529212,12568.053315685862,0.08094953817211,356.6894430730376,157068.01624848816,0.0048051546
072323_SNOW9,50.000000596046455,1524.0508095103437,8169.436736804792,0.0563478721795363,83.98052567299304,132443.72484998862,0.0056188754
072823_SNOW10,47.700000405311584,1115.3868221884172,9413.76443900196,0.0661006696799021,343.5922040567842,126197.95707444416,0.0045231525
072823_SNOW11,48.6000007390976,948.6307938607682,6001.142877364969,0.0671644854214555,313.23091179203925,183586.88740617613,0.005022532
